,rotation,a,b,A,n2,a,b,c,V,n3,r,roundness,error,y1,y2,,Am,Ac,r,Ana,Ana,An,mu,r,g(mu),At
,,[pixel],[pixel],[mm2],,[mm],[mm],[mm],[mm3],,,,,c/a,b/a,,measured,computed,Ac/Am,measured,[mm2],[mm2],,,,[mm2]
,25,632,455,273990,5.16,70.92,60.53,51.50,0,0.0000,,,2037.4,0.73,0.85,3,47581.57,3564.96,0.07,36803.63,2757.44,,,,,
,50,604,524,302490,5.35,70.92,60.53,51.50,193040,5.1676,17.3400,0.34,30.3,0.73,0.85,1,52528.60,4090.72,0.08,37525.23,2922.32,13320.46,1.24,35.85,1.07,
,50,460,545,241530,5.96,70.92,60.53,51.50,0,0.0000,,,1746.3,0.73,0.85,2,41920.39,2970.56,0.07,16632.01,1178.58,,,,,
,50,618,454,261880,4.22,70.92,60.53,51.50,0,0.0000,,,1900.8,0.73,0.85,3,45292.59,3480.46,0.08,33305.66,2559.34,,,,,
,75,608,523,293450,3.87,70.92,60.53,51.50,180420,4.0841,22.4300,0.44,70.4,0.73,0.85,1,51642.23,3990.33,0.08,24811.85,1917.18,8990.92,1.19,35.05,1.00,
,75,459,546,234100,4.25,70.92,60.53,51.50,0,0.0000,,,1793.8,0.73,0.85,2,41010.71,2897.66,0.07,11581.05,818.27,,,,,
,75,613,449,251860,3.65,70.92,60.53,51.50,0,0.0000,,,1801.8,0.73,0.85,3,44486.34,3395.05,0.08,23061.92,1760.01,,,,,
,100,601,520,279380,3.19,70.92,60.53,51.50,164280,3.2559,28.7600,0.56,95.8,0.73,0.85,1,49413.58,3853.32,0.08,20434.91,1593.54,7953.33,1.14,33.98,0.92,
,100,455,539,226760,3.92,70.92,60.53,51.50,0,0.0000,,,1908.1,0.73,0.85,2,39740.45,2798.17,0.07,13648.78,961.03,,,,,
,100,609,450,241230,2.95,70.92,60.53,51.50,0,0.0000,,,1698.2,0.73,0.85,3,42253.15,3278.48,0.08,18328.14,1422.10,,,,,
,125,594,515,270350,3.01,70.92,60.53,51.50,153320,2.8657,33.1060,0.64,66.7,0.73,0.85,1,47761.81,3754.43,0.08,20957.41,1647.41,5787.42,1.11,33.20,0.86,
,125,452,537,216100,3.12,70.92,60.53,51.50,0,0.0000,,,1698.7,0.73,0.85,2,37820.08,2726.35,0.07,5701.07,410.98,,,,,
,125,604,447,231830,2.65,70.92,60.53,51.50,0,0.0000,,,1642.9,0.73,0.85,3,40751.50,3194.33,0.08,10656.68,835.33,,,,,
,150,591,515,258580,2.55,70.92,60.53,51.50,142740,2.5653,37.2950,0.72,61.1,0.73,0.85,1,44903.92,3653.92,0.08,8624.16,701.77,2452.76,1.08,32.42,0.82,
,150,451,527,208580,2.91,70.92,60.53,51.50,0,0.0000,,,1619.8,0.73,0.85,2,36354.94,2653.37,0.07,,,,,,,
,150,600,445,225870,2.51,70.92,60.53,51.50,0,0.0000,,,1595.1,0.73,0.85,3,39760.43,3108.82,0.08,6709.60,524.62,,,,,
,175,577,508,243330,2.35,69.00,60.53,51.50,132940,2.4165,39.5750,0.77,36.1,0.75,0.88,1,42542.99,3496.24,0.08,8821.57,724.97,2379.85,1.06,31.66,0.79,
,175,449,528,203590,2.65,69.00,60.53,51.50,0,0.0000,,,1417.2,0.75,0.88,2,35546.03,2609.51,0.07,,,,,,,
,175,583,442,216010,2.43,69.00,60.53,51.50,0,0.0000,,,1435.1,0.75,0.88,3,38379.13,2974.66,0.08,5998.88,464.96,,,,,
,200,574,503,229730,2.07,68.28,60.53,51.50,122810,2.2206,42.19,0.82,46.0,0.75,0.89,1,40572.95,3369.96,0.08,,,409.64,1.04,30.84,0.75,
,200,455,526,196860,2.28,68.28,60.53,51.50,0,0.0000,,,1194.0,0.75,0.89,2,34204.77,2541.79,0.07,,,,,,,
,200,582,442,214590,2.39,68.28,60.53,51.50,0,0.0000,,,1439.0,0.75,0.89,3,37472.55,2867.23,0.08,2676.82,204.82,,,,,
,225,560,461,210520,2.22,67.17,59.75,51.50,114770,2.1265,42.9280,0.83,80.8,0.77,0.89,1,,,,,,,,,,
,225,449,522,188330,2.13,67.17,59.75,51.50,0,0.0000,,,998.7,0.77,0.89,2,,,,,,,,,,
,225,567,447,208730,2.29,67.17,59.75,51.50,0,0.0000,,,1181.1,0.77,0.89,3,,,,,,,,,,
,250,554,464,202270,2.01,65.62,55.01,51.50,105680,2.1828,43.6150,0.85,63.9,0.78,0.84,1,,,,,,,,,,
,250,447,475,175580,2.32,65.62,55.01,51.50,0,0.0000,,,616.7,0.78,0.84,2,,,,,,,,,,
,250,560,437,200830,2.27,65.62,55.01,51.50,0,0.0000,,,721.5,0.78,0.84,3,,,,,,,,,,
,275,490,449,187630,2.58,58.45,53.04,51.45,94535,2.2921,46.5200,0.90,69.4,0.88,0.91,1,,,,,,,,,,
,275,438,461,166960,2.32,58.45,53.04,51.45,0,0.0000,,,240.4,0.88,0.91,2,,,,,,,,,,
,275,515,438,183270,2.20,58.45,53.04,51.45,0,0.0000,,,371.7,0.88,0.91,3,,,,,,,,,,
,300,481,437,176950,2.46,57.05,52.65,51.12,87364,2.1850,46.5500,0.91,81.7,0.90,0.92,1,,,,,,,,,,
,300,440,455,159530,2.08,57.05,52.65,51.12,0,0.0000,,,170.3,0.90,0.92,2,,,,,,,,,,
,300,500,432,172520,2.09,57.05,52.65,51.12,0,0.0000,,,234.2,0.90,0.92,3,,,,,,,,,,
,325,459,449,164770,2.10,53.44,51.20,51.00,77970,2.1411,46.9900,0.92,35.5,0.95,0.96,1,,,,,,,,,,
,325,431,433,147080,2.02,53.44,51.20,51.00,0,0.0000,,,48.4,0.95,0.96,2,,,,,,,,,,
,325,457,428,158360,2.17,53.44,51.20,51.00,0,0.0000,,,84.6,0.95,0.96,3,,,,,,,,,,
,350,445,423,154040,2.25,52.85,51.13,50.85,70993,1.9740,46.8300,0.92,84.8,0.96,0.97,1,,,,,,,,,,
,350,415,429,137700,1.92,52.85,51.13,50.85,0,0.0000,,,58.3,0.96,0.97,2,,,,,,,,,,
,350,445,415,148630,2.14,52.85,51.13,50.85,0,0.0000,,,87.0,0.96,0.97,3,,,,,,,,,,
,375,411,413,141140,2.36,49.69,50.14,46.66,64685,2.1313,42.9800,0.92,65.0,0.94,1.01,1,,,,,,,,,,
,375,384,415,129340,2.19,49.69,50.14,46.66,0,0.0000,,,100.3,0.94,1.01,2,,,,,,,,,,
,375,432,375,132840,2.26,49.69,50.14,46.66,0,0.0000,,,172.0,0.94,1.01,3,,,,,,,,,,
,400,409,404,135280,2.25,48.18,49.27,44.04,58776,2.1558,,0.9200,58.2,0.91,1.02,1,,,,,,,,,,
,400,374,413,126290,2.24,48.18,49.27,44.04,0,0.0000,,,269.6,0.91,1.02,2,,,,,,,,,,
,400,416,374,128350,2.30,48.18,49.27,44.04,0,0.0000,,,211.6,0.91,1.02,3,,,,,,,,,,
,450,397,356,119770,2.52,46.16,45.06,43.21,48282,2.0530,,,270.5,0.94,0.98,1,,,,,,,,,,
,450,360,378,110230,2.18,46.16,45.06,43.21,0,0.0000,,,87.3,0.94,0.98,2,,,,,,,,,,
,450,404,358,112880,1.97,46.16,45.06,43.21,0,0.0000,,,235.6,0.94,0.98,3,,,,,,,,,,
,500,359,348,107980,2.72,43.38,42.15,40.54,41074,2.1216,,,215.1,0.93,0.97,1,,,,,,,,,,
,500,335,351,97499,2.34,43.38,42.15,40.54,0,0.0000,,,62.6,0.93,0.97,2,,,,,,,,,,
,500,372,355,99706,1.82,43.38,42.15,40.54,0,0.0000,,,70.1,0.93,0.97,3,,,,,,,,,,
,550,321,314,87405,2.76,39.64,38.04,36.92,34297,2.4063,,,49.5,0.93,0.96,1,,,,,,,,,,
,550,325,340,86117,1.96,39.64,38.04,36.92,0,0.0000,,,78.7,0.93,0.96,2,,,,,,,,,,
,550,340,322,86734,2.05,39.64,38.04,36.92,0,0.0000,,,75.6,0.93,0.96,3,,,,,,,,,,
,600,312,309,79560,2.31,36.81,36.92,36.63,28745,2.2226,,,36.1,1.00,1.00,1,,,,,,,,,,
,600,308,328,79955,2.04,36.81,36.92,36.63,0,0.0000,,,21.3,1.00,1.00,2,,,,,,,,,,
,600,317,298,74549,2.03,36.81,36.92,36.63,0,0.0000,,,40.6,1.00,1.00,3,,,,,,,,,,
,0,608,521,316690,20.00,71.54,61.18,49.37,220170,10.00,5.00,0.10,,0.69,0.86,1,56067.05,4360.07,0.08,56067.05,4360.07,21637.93,1.32,37.46,1.22,21535.06
,0,447,556,247490,19.09,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,2,43732.43,2977.36,0.07,43732.43,2977.36,,,,,
,0,629,439,275140,20.74,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,3,48140.47,3481.54,0.07,48140.47,3481.54,,,,,
,25,610,513,302030,6.13,71.54,61.18,49.37,203810,8.30,10.00,0.20,,0.69,0.86,1,53282.63,4288.60,0.08,45015.53,3623.20,16917.11,1.30,36.51,1.19,19880.06
,25,432,544,228360,6.89,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,2,41015.37,2959.58,0.07,31037.63,2239.60,,,,,
,25,622,434,258400,5.46,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,3,45641.99,3460.74,0.08,34234.10,2595.75,,,,,
,50,607,514,295310,4.80,71.54,61.18,49.37,191560,5.53,15.69,0.32,,0.69,0.86,1,51912.03,4193.92,0.08,31670.67,2558.64,12545.83,1.25,35.76,1.09,17546.88
,50,419,536,210610,4.40,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,2,39269.74,2894.24,0.07,23898.36,1761.34,,,,,
,50,614,428,244970,4.18,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,3,43772.70,3384.34,0.08,25259.04,1952.93,,,,,
,75,601,513,279010,3.41,71.54,61.18,49.37,176640,4.10,21.65,0.44,,0.69,0.86,1,49415.99,4071.00,0.08,28952.37,2385.16,8902.58,1.19,34.81,1.00,15236.54
,75,421,536,212250,4.52,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,2,37747.16,2809.41,0.07,13806.48,1027.58,,,,,
,75,611,426,238970,3.73,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,3,42136.84,3285.15,0.08,13320.94,1038.55,,,,,
,100,599,512,271150,3.01,71.54,61.18,49.37,165790,3.49,25.75,0.52,,0.69,0.86,1,47733.65,3976.15,0.08,26414.10,2200.26,8670.99,1.16,34.08,0.94,13759.73
,100,424,536,209800,3.88,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,2,36901.21,2743.96,0.07,12007.71,892.89,,,,,
,100,607,423,231100,3.30,71.54,61.18,49.37,0,0.00,,,,0.69,0.86,3,40995.86,3208.61,0.08,15873.23,1242.34,,,,,
